job_id,job_role,required_skills,experience_required,job_location,employment_type,salary_range_lpa,job_description
1,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",7,Remote,Internship,5-31,"We are hiring a Cloud Engineer with 7+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
2,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",7,Pune,Full-Time,10-26,"We are hiring a Frontend Developer with 7+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
3,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",2,Bangalore,Contract,5-20,"We are hiring a ML Engineer with 2+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
4,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",2,Bangalore,Contract,5-14,"We are hiring a ML Engineer with 2+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
5,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",2,Remote,Internship,8-13,"We are hiring a Data Analyst with 2+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
6,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",0,Hyderabad,Contract,8-16,"We are hiring a Data Scientist with 0+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
7,Software Engineer,"Java, C++, Git, Linux, Problem Solving",9,Pune,Contract,5-27,"We are hiring a Software Engineer with 9+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
8,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",8,Bangalore,Internship,7-32,"We are hiring a Frontend Developer with 8+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
9,Backend Developer,"Python, Java, APIs, SQL, Docker",0,Bangalore,Contract,9-16,"We are hiring a Backend Developer with 0+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
10,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",4,Remote,Internship,8-30,"We are hiring a Frontend Developer with 4+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
11,Backend Developer,"Python, Java, APIs, SQL, Docker",1,Delhi,Contract,9-28,"We are hiring a Backend Developer with 1+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
12,Software Engineer,"Java, C++, Git, Linux, Problem Solving",9,Bangalore,Internship,6-15,"We are hiring a Software Engineer with 9+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
13,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",0,Remote,Full-Time,5-34,"We are hiring a Cloud Engineer with 0+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
14,Backend Developer,"Python, Java, APIs, SQL, Docker",8,Bangalore,Contract,7-28,"We are hiring a Backend Developer with 8+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
15,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",3,Bangalore,Full-Time,8-22,"We are hiring a Frontend Developer with 3+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
16,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",1,Delhi,Full-Time,6-34,"We are hiring a Cloud Engineer with 1+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
17,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",4,Pune,Contract,4-13,"We are hiring a Data Scientist with 4+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
18,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",10,Pune,Full-Time,10-28,"We are hiring a Cloud Engineer with 10+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
19,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",3,Hyderabad,Full-Time,7-27,"We are hiring a Full Stack Developer with 3+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
20,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",5,Bangalore,Contract,7-26,"We are hiring a ML Engineer with 5+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
21,Data Analyst,"SQL, Excel, Power BI, Tableau, Python",8,Pune,Internship,8-35,"We are hiring a Data Analyst with 8+ years experience. Required skills include SQL, Excel, Power BI, Tableau, Python."
22,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",0,Pune,Contract,7-13,"We are hiring a Frontend Developer with 0+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
23,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",3,Bangalore,Contract,6-19,"We are hiring a Full Stack Developer with 3+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
24,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",4,Hyderabad,Internship,8-30,"We are hiring a Frontend Developer with 4+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
25,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",0,Delhi,Internship,10-35,"We are hiring a Full Stack Developer with 0+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
26,AI Engineer,"Python, NLP, Computer Vision, Deep Learning, AWS",8,Delhi,Internship,6-26,"We are hiring a AI Engineer with 8+ years experience. Required skills include Python, NLP, Computer Vision, Deep Learning, AWS."
27,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",7,Remote,Internship,8-24,"We are hiring a Full Stack Developer with 7+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
28,Full Stack Developer,"React, Node.js, MongoDB, SQL, Git",0,Bangalore,Contract,7-29,"We are hiring a Full Stack Developer with 0+ years experience. Required skills include React, Node.js, MongoDB, SQL, Git."
29,Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX",2,Pune,Contract,6-14,"We are hiring a Frontend Developer with 2+ years experience. Required skills include HTML, CSS, JavaScript, React, UI/UX."
30,Cloud Engineer,"AWS, Azure, Docker, Kubernetes, Linux",5,Remote,Contract,10-14,"We are hiring a Cloud Engineer with 5+ years experience. Required skills include AWS, Azure, Docker, Kubernetes, Linux."
31,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",6,Bangalore,Internship,9-13,"We are hiring a Data Scientist with 6+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
32,Software Engineer,"Java, C++, Git, Linux, Problem Solving",4,Remote,Internship,6-25,"We are hiring a Software Engineer with 4+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
33,Backend Developer,"Python, Java, APIs, SQL, Docker",10,Delhi,Internship,4-13,"We are hiring a Backend Developer with 10+ years experience. Required skills include Python, Java, APIs, SQL, Docker."
34,Data Scientist,"Python, Machine Learning, SQL, NLP, Data Analysis",9,Pune,Full-Time,5-17,"We are hiring a Data Scientist with 9+ years experience. Required skills include Python, Machine Learning, SQL, NLP, Data Analysis."
35,Software Engineer,"Java, C++, Git, Linux, Problem Solving",4,Delhi,Contract,9-24,"We are hiring a Software Engineer with 4+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
36,ML Engineer,"Python, Deep Learning, TensorFlow, Docker, ML Ops",0,Remote,Internship,7-30,"We are hiring a ML Engineer with 0+ years experience. Required skills include Python, Deep Learning, TensorFlow, Docker, ML Ops."
37,Software Engineer,"Java, C++, Git, Linux, Problem Solving",5,Hyderabad,Full-Time,5-25,"We are hiring a Software Engineer with 5+ years experience. Required skills include Java, C++, Git, Linux, Problem Solving."
